Wavelength(nm),ANSI IES RP 27.1-22 (Eye),ANSI IES RP 27.1-22 (Skin),IEC 62471-6:2022 (Eye/Skin)
180,0.001840,0.000300,0.012000
185,0.001840,0.000300,0.015500
190,0.001840,0.000300,0.019000
195,0.001840,0.000300,0.024500
200,0.001845,0.000300,0.030000
201,0.001845,0.000344,0.033359
202,0.001845,0.000395,0.037094
203,0.001845,0.000454,0.041247
204,0.001845,0.000521,0.045865
205,0.001845,0.000600,0.051000
206,0.001845,0.000689,0.055089
207,0.001846,0.000791,0.059507
208,0.002153,0.000908,0.064278
209,0.002513,0.001042,0.069433
210,0.002930,0.001196,0.075000
211,0.003419,0.001374,0.078631
212,0.003989,0.001577,0.082438
213,0.004655,0.001810,0.086429
214,0.005434,0.002078,0.090613
215,0.006340,0.002386,0.095000
216,0.007398,0.002739,0.099544
217,0.008632,0.003144,0.104305
218,0.010071,0.003610,0.109294
219,0.011751,0.004144,0.114522
220,0.013712,0.004758,0.120000
221,0.015999,0.005462,0.125477
222,0.018668,0.006270,0.131203
223,0.021782,0.007199,0.137192
224,0.025415,0.008264,0.143453
225,0.029654,0.009487,0.150000
226,0.034601,0.010892,0.157262
227,0.040373,0.012504,0.164876
228,0.047107,0.014355,0.172858
229,0.054965,0.016480,0.181226
230,0.064134,0.018919,0.190000
231,0.074832,0.021720,0.199088
232,0.087315,0.024935,0.208611
233,0.101880,0.028625,0.218589
234,0.118875,0.032863,0.229044
235,0.138704,0.037727,0.240000
236,0.161841,0.043311,0.250953
237,0.188838,0.049722,0.262407
238,0.220338,0.057082,0.274383
239,0.257092,0.065532,0.286906
240,0.300000,0.075232,0.300000
241,0.311141,0.086368,0.311141
242,0.322696,0.099152,0.322696
243,0.334680,0.113829,0.334680
244,0.347109,0.130678,0.347109
245,0.360000,0.150021,0.360000
246,0.373023,0.172227,0.373023
247,0.386517,0.197720,0.386517
248,0.400500,0.226987,0.400500
249,0.414988,0.260586,0.414988
250,0.430000,0.300000,0.430000
251,0.446523,0.300000,0.446523
252,0.463681,0.300000,0.463681
253,0.481498,0.300000,0.481498
254,0.500000,0.300000,0.500000
255,0.520000,0.300000,0.520000
256,0.543733,0.300000,0.543733
257,0.568548,0.300000,0.568548
258,0.594497,0.300000,0.594497
259,0.621629,0.300000,0.621629
260,0.650000,0.300000,0.650000
261,0.679247,0.300000,0.679247
262,0.709810,0.300000,0.709810
263,0.741748,0.300000,0.741748
264,0.775123,0.300000,0.775123
265,0.810000,0.300000,0.810000
266,0.844866,0.300000,0.844866
267,0.881234,0.300000,0.881234
268,0.919166,0.300000,0.919166
269,0.958732,0.300000,0.958732
270,1.000000,0.300000,1.000000
271,0.991869,0.300000,0.991869
272,0.983804,0.300000,0.983804
273,0.975804,0.300000,0.975804
274,0.967870,0.300000,0.967870
275,0.960000,0.300000,0.960000
276,0.943438,0.300000,0.943438
277,0.927162,0.300000,0.927162
278,0.911167,0.300000,0.911167
279,0.895448,0.300000,0.895448
280,0.880000,0.300000,0.880000
281,0.856810,0.300000,0.856810
282,0.834230,0.300000,0.834230
283,0.812246,0.300000,0.812246
284,0.790841,0.300000,0.790841
285,0.770000,0.300000,0.770000
286,0.742042,0.300000,0.742042
287,0.715099,0.300000,0.715099
288,0.689135,0.300000,0.689135
289,0.664113,0.300000,0.664113
290,0.640000,0.300000,0.640000
291,0.618618,0.300000,0.618618
292,0.597951,0.300000,0.597951
293,0.577974,0.300000,0.577974
294,0.558664,0.300000,0.558664
295,0.540000,0.300000,0.540000
296,0.498397,0.300000,0.498397
297,0.460000,0.300000,0.460000
298,0.398914,0.300000,0.398914
299,0.345939,0.300000,0.345939
300,0.300000,0.300000,0.300000
301,0.221042,0.221042,0.221042
302,0.162865,0.162865,0.162865
303,0.120000,0.120000,0.120000
304,0.084853,0.084853,0.084853
305,0.060000,0.060000,0.060000
306,0.045404,0.045404,0.045404
307,0.034358,0.034358,0.034358
308,0.026000,0.026000,0.026000
309,0.019748,0.019748,0.019748
310,0.015000,0.015000,0.015000
311,0.011052,0.011052,0.011052
312,0.008143,0.008143,0.008143
313,0.006000,0.006000,0.006000
314,0.004243,0.004243,0.004243
315,0.003000,0.003000,0.003000
316,0.002400,0.002400,0.002400
317,0.002000,0.002000,0.002000
318,0.001600,0.001600,0.001600
319,0.001200,0.001200,0.001200
320,0.001000,0.001000,0.001000
321,0.000819,0.000819,0.000819
322,0.000670,0.000670,0.000670
323,0.000540,0.000540,0.000540
324,0.000520,0.000520,0.000520
325,0.000500,0.000500,0.000500
326,0.000479,0.000479,0.000479
327,0.000459,0.000459,0.000459
328,0.000440,0.000440,0.000440
329,0.000425,0.000425,0.000425
330,0.000410,0.000410,0.000410
331,0.000396,0.000396,0.000396
332,0.000383,0.000383,0.000383
333,0.000370,0.000370,0.000370
334,0.000355,0.000355,0.000355
335,0.000340,0.000340,0.000340
336,0.000327,0.000327,0.000327
337,0.000315,0.000315,0.000315
338,0.000303,0.000303,0.000303
339,0.000291,0.000291,0.000291
340,0.000280,0.000280,0.000280
341,0.000271,0.000271,0.000271
342,0.000263,0.000263,0.000263
343,0.000255,0.000255,0.000255
344,0.000248,0.000248,0.000248
345,0.000240,0.000240,0.000240
346,0.000231,0.000231,0.000231
347,0.000223,0.000223,0.000223
